epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,144.105,0.44137,0.36443,0.97799,0.59462,0.68058,0.7464,0.41537,1.70709,1.73554,2.43592,0.000247472,0.000247472,0.000247472
134,145.139,0.42184,0.37479,0.96043,0.76596,0.65,0.75648,0.40892,1.74151,1.62783,2.45692,0.000243938,0.000243938,0.000243938
135,146.177,0.42737,0.37044,0.95347,0.7237,0.65,0.75318,0.36841,1.8455,1.68658,2.62056,0.000240404,0.000240404,0.000240404
136,147.203,0.45013,0.37381,0.98037,0.60524,0.71793,0.72662,0.34516,1.89702,1.75287,2.72966,0.000236869,0.000236869,0.000236869
137,148.232,0.43713,0.35548,0.94772,0.60524,0.71793,0.72662,0.34516,1.89702,1.75287,2.72966,0.000233335,0.000233335,0.000233335
138,149.284,0.44138,0.39059,0.98437,0.76804,0.7,0.71344,0.33694,1.90436,1.73815,2.74459,0.000229801,0.000229801,0.000229801
139,150.343,0.4589,0.39328,0.98211,0.74755,0.7,0.76444,0.33285,1.91039,1.76535,2.72379,0.000226267,0.000226267,0.000226267
140,151.402,0.47474,0.40428,0.92616,0.87684,0.6,0.76767,0.33842,1.88953,1.71819,2.69335,0.000222732,0.000222732,0.000222732
141,152.416,0.43369,0.35675,0.962,0.87684,0.6,0.76767,0.33842,1.88953,1.71819,2.69335,0.000219198,0.000219198,0.000219198
142,153.471,0.40987,0.35038,0.92297,0.73791,0.71744,0.83013,0.36921,1.96708,1.39243,2.73108,0.000215664,0.000215664,0.000215664
143,154.526,0.38817,0.36464,0.93578,0.78325,0.771,0.84101,0.37453,2.00111,1.1901,2.76967,0.000212129,0.000212129,0.000212129
144,155.59,0.43892,0.38443,0.9508,0.8409,0.8,0.85984,0.40205,1.9398,1.09686,2.65178,0.000208595,0.000208595,0.000208595
145,156.649,0.41068,0.40101,0.9677,0.8409,0.8,0.85984,0.40205,1.9398,1.09686,2.65178,0.000205061,0.000205061,0.000205061
146,157.701,0.41398,0.33693,0.96459,0.72773,0.85,0.85434,0.41741,1.92306,1.08135,2.59283,0.000201527,0.000201527,0.000201527
147,158.769,0.39865,0.34936,0.936,0.73836,0.85,0.83733,0.41515,1.9017,1.14159,2.51289,0.000197992,0.000197992,0.000197992
148,159.852,0.38979,0.31948,0.91455,0.81992,0.85,0.83809,0.42163,1.81604,1.0475,2.45985,0.000194458,0.000194458,0.000194458
149,160.908,0.38315,0.36687,0.93244,0.81992,0.85,0.83809,0.42163,1.81604,1.0475,2.45985,0.000190924,0.000190924,0.000190924
150,161.962,0.4318,0.34086,0.92785,0.78442,0.85,0.83112,0.41652,1.81259,0.99879,2.4504,0.000187389,0.000187389,0.000187389
151,163.032,0.44639,0.34893,0.95976,0.72676,0.85,0.83669,0.41944,1.80283,0.94737,2.41929,0.000183855,0.000183855,0.000183855
152,164.114,0.39986,0.31484,0.9516,0.71482,0.85,0.83733,0.41389,1.83608,1.00757,2.46042,0.000180321,0.000180321,0.000180321
153,165.164,0.3838,0.30995,0.95679,0.71482,0.85,0.83733,0.41389,1.83608,1.00757,2.46042,0.000176786,0.000176786,0.000176786
154,166.246,0.37882,0.34774,0.91936,0.65058,0.85,0.8415,0.42454,1.88214,1.08018,2.51986,0.000173252,0.000173252,0.000173252
155,167.32,0.39544,0.34334,0.92735,0.62493,0.85,0.82427,0.42818,1.87408,1.15057,2.51717,0.000169718,0.000169718,0.000169718
156,168.402,0.41159,0.32293,0.96172,0.59107,0.78333,0.80889,0.44122,1.84824,1.22641,2.53325,0.000166183,0.000166183,0.000166183
157,169.511,0.33923,0.29254,0.92872,0.59107,0.78333,0.80889,0.44122,1.84824,1.22641,2.53325,0.000162649,0.000162649,0.000162649
158,170.612,0.33703,0.29732,0.90848,0.58076,0.78884,0.80934,0.44096,1.79499,1.32379,2.46634,0.000159115,0.000159115,0.000159115
159,171.681,0.3479,0.3454,0.92229,0.56807,0.75,0.79939,0.4522,1.76057,1.35578,2.39586,0.000155581,0.000155581,0.000155581
160,172.787,0.3643,0.30149,0.91882,0.56319,0.7707,0.78585,0.45563,1.72628,1.39063,2.36525,0.000152046,0.000152046,0.000152046
161,173.865,0.36838,0.3094,0.91147,0.56319,0.7707,0.78585,0.45563,1.72628,1.39063,2.36525,0.000148512,0.000148512,0.000148512
162,174.977,0.39961,0.31544,0.9531,0.66742,0.7,0.77865,0.43948,1.74152,1.43996,2.42816,0.000144978,0.000144978,0.000144978
163,176.037,0.34678,0.30067,0.91246,0.68827,0.7,0.77925,0.44993,1.72069,1.46561,2.4505,0.000141443,0.000141443,0.000141443
164,177.117,0.34719,0.31966,0.90805,0.61767,0.75,0.78548,0.4643,1.69236,1.49934,2.43371,0.000137909,0.000137909,0.000137909
165,178.209,0.32781,0.28626,0.89792,0.61767,0.75,0.78548,0.4643,1.69236,1.49934,2.43371,0.000134375,0.000134375,0.000134375
166,179.307,0.3203,0.28639,0.92694,0.64135,0.75,0.7863,0.46667,1.68674,1.53088,2.44407,0.000130841,0.000130841,0.000130841
167,180.43,0.34766,0.29879,0.93921,0.59913,0.75291,0.78656,0.47998,1.67167,1.57801,2.45523,0.000127306,0.000127306,0.000127306
168,181.546,0.34344,0.29061,0.9307,0.56215,0.7665,0.78663,0.48998,1.62342,1.53406,2.37416,0.000123772,0.000123772,0.000123772
169,182.614,0.3482,0.29761,0.9448,0.56215,0.7665,0.78663,0.48998,1.62342,1.53406,2.37416,0.000120238,0.000120238,0.000120238
170,183.704,0.34291,0.26526,0.93415,0.66982,0.65,0.83685,0.4967,1.57576,1.50824,2.30175,0.000116703,0.000116703,0.000116703
171,184.915,0.38882,0.35424,0.97898,0.67227,0.65,0.83784,0.50993,1.5563,1.49548,2.27971,0.000113169,0.000113169,0.000113169
172,186.022,0.37026,0.3246,0.93176,0.77559,0.6,0.85821,0.50364,1.5399,1.45296,2.24711,0.000109635,0.000109635,0.000109635
173,187.089,0.38164,0.33,0.94991,0.77559,0.6,0.85821,0.50364,1.5399,1.45296,2.24711,0.0001061,0.0001061,0.0001061
174,188.164,0.30831,0.27347,0.91947,0.76763,0.6,0.84231,0.50485,1.52404,1.43571,2.2274,0.000102566,0.000102566,0.000102566
175,189.211,0.3178,0.28259,0.9012,0.76315,0.6,0.90139,0.51124,1.53011,1.44219,2.20594,9.90318e-05,9.90318e-05,9.90318e-05
176,190.412,0.32836,0.2901,0.93706,0.76266,0.6,0.90139,0.50057,1.5353,1.44578,2.20915,9.54975e-05,9.54975e-05,9.54975e-05
177,191.481,0.35179,0.27808,0.92606,0.76266,0.6,0.90139,0.50057,1.5353,1.44578,2.20915,9.19632e-05,9.19632e-05,9.19632e-05
178,192.528,0.32812,0.279,0.90842,0.75996,0.6,0.90139,0.50024,1.56064,1.47427,2.23906,8.84289e-05,8.84289e-05,8.84289e-05
179,193.586,0.32451,0.27432,0.92569,0.76082,0.6,0.89963,0.50102,1.57886,1.48396,2.27293,8.48946e-05,8.48946e-05,8.48946e-05
180,194.657,0.3442,0.29596,0.90192,0.76518,0.6,0.89927,0.50052,1.59975,1.47591,2.2841,8.13603e-05,8.13603e-05,8.13603e-05
181,195.706,0.30022,0.24988,0.90458,0.76518,0.6,0.89927,0.50052,1.59975,1.47591,2.2841,7.7826e-05,7.7826e-05,7.7826e-05
